+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |  5 |       NEW |     READY |
|                 0 |  5 |     READY |   RUNNING |
|                 3 |  2 |       NEW |     READY |
|                 4 |  5 |   RUNNING |   WAITING |
|                 4 |  2 |     READY |   RUNNING |
|                 5 |  9 |       NEW |     READY |
|                 6 |  5 |   WAITING |     READY |
|                12 |  2 |   RUNNING |TERMINATED |
|                12 |  9 |     READY |   RUNNING |
|                17 |  9 |   RUNNING |   WAITING |
|                17 |  5 |     READY |   RUNNING |
|                18 |  9 |   WAITING |     READY |
|                21 |  5 |   RUNNING |   WAITING |
|                21 |  9 |     READY |   RUNNING |
|                23 |  5 |   WAITING |     READY |
|                26 |  9 |   RUNNING |TERMINATED |
|                26 |  5 |     READY |   RUNNING |
|                30 |  5 |   RUNNING |TERMINATED |
+------------------------------------------------+
